artistID,stageName,birthName,homeTown,birthDate,deathDate,artistFunFact
1,Doja Cat,Amala Ratna Zandile Dlamini,"Los Angeles, California",1995-10-25,,"Doja Cat, along with Nicki Minaj, were the first female rap duo to reach number 1 on the US singles chart with their song Say So."
2,SZA,Solana Imani Rowe,"St. Louis, Missouri",1989-11-08,,SZA and Doja Cat received a Grammy award for Best Pop Duo Performance in 2022.
3,Ariana Grande,Ariana Grande-Butera,"Boca Raton, Florida",1993-06-26,,Ariana Grande became the most followed woman on instagram in 2019 and has 300 million followers as of 2022.
4,Nicki Minaj,Onika Tanya Maraj-Petty,"Saint James District, Trinidad and Tobago",1982-12-08,,"As a child, Minaj and her older brother, Jelani, grew up with her grandmother in a household with 11 cousins."
5,Lady Gaga,Stefani Joanne Angelina Germanotta,"New York City, New York",1986-03-28,,Lady Gaga is the only female artist to achieve four singles that sold at least 10 million copies globally.
6,Charli XCX,Charlotte Emma Aitchison,"Cambridge, England",1992-08-02,,"Charli XCX recorded her first album in 2008 at the young age of 14, and posted songs from the album on her official Myspace page."
7,Lil Nas X,Montero Lamar Hill,"Lithia Springs, Georgia",1999-04-09,,"Lil Nas X's song, Old Town Road, became billboards longest-running number-one song since the chart debuted in 1958 after spending 19 weeks in position number 1."
8,Lights,Valerie Anne Poxleitner,"Timmins, Ontario, Canada",1987-04-11,,"In high school, Lights played the guitar and sang in the metal band Shovel Face."
